type,DOEfacebook,DOEtwitter,DOEinstagram,DOEyoutube,SECfacebook,SECtwitter,SECinstagram,SECyoutube
3/17/17 17:12,,602454,30627,"14,983",,6405,,
3/17/17 17:12,,602455,30627,"14,983",,6405,,
3/17/17 17:12,,602455,30627,"14,983",,6405,,
3/17/17 17:12,,602455,30627,"14,983",,6405,,
3/17/17 17:12,,602455,30627,"14,983",,6405,,
3/17/17 21:46,,602520,30628,"14,983",,6416,,
3/17/17 21:47,,602522,30628,"14,983",,6416,,
3/17/17 21:59,,602514,30628,"14,983",,6419,,
3/17/17 22:59,,602638,30629,"14,983",,6438,,
3/17/17 23:59,,602692,30631,"14,983",,6464,,
3/18/17 0:59,,602784,30633,"14,984",,6488,,
3/18/17 1:59,,602857,30635,"14,986",,6506,,
3/18/17 2:59,,602959,30638,"14,986",,6519,,
3/18/17 3:59,,603057,30642,"14,986",,6535,,
3/18/17 4:59,,603154,30643,"14,986",,6549,,
3/18/17 5:59,,603232,30647,"14,986",,6557,,
3/18/17 6:59,,603327,30649,"14,987",,6565,,
3/18/17 7:59,,603409,30648,"14,987",,6570,,
3/18/17 8:59,,603512,30652,"14,987",,6574,,
3/18/17 9:59,,603573,30656,"14,988",,6578,,
3/18/17 10:59,,603702,30661,"14,990",,6582,,
3/18/17 11:59,,603784,30661,"14,991",,6597,,
3/18/17 12:59,,603911,30665,"14,992",,6604,,
3/18/17 13:59,,604027,30668,"14,991",,6613,,
3/18/17 14:59,,604182,30670,"14,992",,6629,,
3/18/17 15:59,,604317,30672,"14,996",,6657,,
3/18/17 16:59,,604489,30673,"14,998",,6680,,
3/18/17 17:59,,604627,30674,"14,998",,6703,,
3/18/17 18:59,,604795,30677,"14,998",,6722,,
3/18/17 19:59,,604898,30681,"14,999",,6734,,
3/18/17 20:59,,605069,30681,"14,997",,6755,,
3/18/17 21:59,,605175,30682,"14,997",,6777,,
3/18/17 22:59,,605257,30686,"14,997",,6788,,
3/18/17 23:59,,605319,30687,"14,997",,6794,,
3/19/17 0:59,,605402,30689,"14,997",,6809,,
3/19/17 1:59,,605466,30690,"14,998",,6820,,
3/19/17 2:59,,605565,30693,"14,999",,6831,,
3/19/17 3:59,,605646,30694,"14,999",,6843,,
3/19/17 4:59,,605716,30696,"15,001",,6859,,
3/19/17 5:59,,605769,30697,"15,001",,6871,,
3/19/17 6:59,,605853,30696,"15,001",,6881,,
3/19/17 7:59,,605906,30701,"15,003",,6883,,
3/19/17 8:59,,605993,30702,"15,003",,6887,,
3/19/17 9:59,,606027,30704,"15,004",,6893,,
3/19/17 10:59,,606108,30705,"15,004",,6895,,
3/19/17 11:59,,606179,30707,"15,004",,6902,,
3/19/17 12:59,,606291,30710,"15,005",,6920,,
3/19/17 13:59,,606365,30713,"15,005",,6937,,
3/19/17 14:59,,606478,30718,"15,006",,6948,,
3/19/17 15:59,,606589,30719,"15,007",,6969,,
3/19/17 16:59,,606721,30727,"15,009",,6985,,
3/19/17 17:59,,606818,30736,"15,010",,6999,,
3/19/17 18:59,,606930,30738,"15,012",,7006,,
3/19/17 19:59,,607014,30741,"15,013",,7013,,
3/19/17 20:59,,607122,30744,"15,013",,7025,,
3/19/17 21:59,,607206,30745,"15,014",,7043,,
3/19/17 22:59,,607302,30748,"15,014",,7055,,
3/19/17 23:59,,607376,30751,"15,014",,7069,,
3/20/17 0:59,,607471,30754,"15,016",,7085,,
3/20/17 1:59,,607526,30751,"15,016",,7094,,
3/20/17 2:59,,607601,30755,"15,016",,7104,,
3/20/17 3:59,,607678,30752,"15,018",,7110,,
3/20/17 4:59,,607757,30755,"15,019",,7120,,
3/20/17 5:59,,607803,30757,"15,020",,7132,,
3/20/17 6:59,,607887,30761,"15,020",,7143,,
3/20/17 7:59,,607943,30761,"15,022",,7146,,
3/20/17 8:59,,608011,30760,"15,022",,7150,,
3/20/17 9:59,,608063,30763,"15,022",,7155,,
3/20/17 10:59,,608121,30762,"15,023",,7159,,
3/20/17 11:59,,608166,30764,"15,023",,7165,,
3/20/17 12:59,,608250,30772,"15,024",,7173,,
3/20/17 13:59,,608314,30771,"15,025",,7191,,
3/20/17 14:59,,608433,30776,"15,026",,7215,,
3/20/17 15:59,,608534,30777,"15,026",,7233,,
3/20/17 21:59,,609208,30792,"15,025",,7366,,
3/20/17 22:59,,609355,30798,"15,026",,7404,,
3/20/17 23:59,,609439,30800,"15,025",,7430,,
3/21/17 0:59,,609546,30800,"15,025",,7448,,
3/21/17 1:59,,609642,30804,"15,026",,7469,,
3/21/17 2:59,,609762,30808,"15,027",,7481,,
3/21/17 3:59,,609873,30808,"15,027",,7493,,
3/21/17 4:59,,609982,30808,"15,028",,7504,,
3/21/17 5:59,,610053,30810,"15,030",,7518,,
3/21/17 6:59,,610167,30809,"15,031",,7530,,
3/21/17 7:59,,610240,30813,"15,031",,7536,,
3/21/17 8:59,,610328,30815,"15,032",,7540,,
3/21/17 9:59,,610396,30814,"15,033",,7543,,
3/21/17 10:59,,610509,30816,"15,034",,7545,,
3/21/17 11:59,,610611,30816,"15,035",,7551,,
3/21/17 12:59,,610738,30818,"15,036",,7562,,
3/21/17 13:59,,610868,30820,"15,037",,7576,,
3/21/17 14:59,,611006,30823,"15,037",,7604,,
3/21/17 15:59,,611154,30827,"15,038",,7625,,
3/21/17 16:59,,611322,30830,"15,038",,7649,,
3/21/17 17:59,,611470,30834,"15,039",,7660,,
3/21/17 18:59,,611640,30835,"15,040",,7682,,
3/21/17 19:59,,611765,30836,"15,040",,7688,,
3/21/17 20:59,,611895,30840,"15,041",,7701,,
3/21/17 21:37,,611988,30839,"15,041",,7704,,
3/21/17 21:40,,611991,30839,"15,041",,7704,,