type,zid,facebook,twitter,instagram,youtube,medium,pinterest,storify,linkedin,google,vimeo,flickr,slideshare
Department of Energy,1,115884,599845,30580,"14,964",,,,,,,,
Secretary of Energy,2,476,5202,,,,,,,,,,
Deputy Secretary of Energy,3,,,,,,,,,,,,
Press Secretary,4,,19406,,,,,,,,,,
Federal Energy Regulatory Commission,5,,,,,,,,,,,,
Office of the Under Secretary for Nuclear Security and National Nuclear Security Organization,6,,,,,,,,,,,,
Under Secretary for Nuclear Security Administration,7,,,,,,,,,,,,
NNSA,8,36921,11201,,,,,,,,,,
Other Nuclear Security,9,,,,,,,,,,,,
Office of the Under Secretary for Science & Energy,10,,,,,,,,,,,,
EERE,11,157767,,,,,,,,,,,
Energy Saver,12,17363,4776,,,,,,,,,,
Science Bowl,13,,1170,,,,,,,,,,
Better Buildings Challenge,14,,3426,,,,,,,,,,
BioenergyKDF,15,,,,,,,,,,,,
Solar Decathlon,16,20606,16953,,"1,740",,,,,,,,
Office of Science,17,,8742,,375,,,,,,,,
SBIR,18,,1517,,,,,,,,,,
Fossil Energy,19,21836,5139,,,,,,,,,,
Nuclear Energy,20,,,,,,,,,,,,
Electricity,21,,,,,,,,,,,,
Indian Energy,22,,,,,,,,,,,,
Office of Technology Transitions,23,,,,,,,,,,,,
ARPA-E,24,19333,17573,,,,,,,,,,
Energy Information Administration,25,31313,97155,,890,,,,,,,,